∆¿,Ω¬∑¸,≈∏¿≤,¿Â≈∏¿≤,√‚∑Á¿≤,∆Ú±’¿⁄√•
KIA,0.455,0.285,0.424,0.345,5.4
LG,0.372,0.276,0.38,0.358,5.08
NC,0.578,0.283,0.445,0.36,4.11
SK,0.444,0.275,0.409,0.347,5.59
≥ÿºæ,0.545,0.283,0.471,0.372,5.44
µŒªÍ,0.568,0.307,0.468,0.378,5.03
∑‘µ•,0.477,0.279,0.417,0.37,5.1
ªÔº∫,0.667,0.286,0.452,0.361,4.07
«—»≠,0.39,0.279,0.394,0.362,5.41
